Varunummer,Vivino_url,Vivino_betyg,Vivino_antal_recensioner,matched_date
257601,https://www.vivino.com/w/73470,3.8,888,
679202,https://www.vivino.com/sv/luigi-righetti-campolieti-valpolicella-ripasso-classico-superiore/w/1228323,3.8,27203,
7291701,https://www.vivino.com/sv/frey-29874-havn-organic-riesling/w/12589195,3.8,607,
9009901,https://www.vivino.com/sv/bruna-grimaldi-scassa-barbera-d-alba-superiore/w/1137691,3.8,2066,
138101,https://www.vivino.com/sv/trimbach-alsace-riesling-alsace-reserve/w/63714,3.8,9419,
5099401,https://www.vivino.com/sv/haggan-xinomavro/w/11708064,3.7,1557,
9512301,https://www.vivino.com/sv/chateau-de-lascaux-carra-pic-saint-loup-languedoc-rouge/w/95953,3.8,3431,
255501,https://www.vivino.com/sv/duorum-altitude-by-duorum-branco/w/12136330,3.8,459,
7747601,https://www.vivino.com/sv/bouchard-aine-et-fils-pinot-noir-rose/w/8554432,3.8,291,
7939301,https://www.vivino.com/w/1210237,3.8,9637,
7786501,https://www.vivino.com/w/1108718,3.8,48,
7956401,https://www.vivino.com/sv/ropiteau-grande-reserve-pinot-noir/w/13330911,3.8,109,
7550101,https://www.vivino.com/sv/brancaia-tre/w/12379,3.8,33511,
5590401,https://www.vivino.com/sv/scheuermann-pfalz-vin-de-soda/w/9637822,3.8,1881,
229801,https://www.vivino.com/sv/domaine-des-pasquiers-cotes-du-rhone-villages-plan-de-dieu/w/1179856,3.8,7104,
7413401,https://www.vivino.com/w/11289603,3.8,106,
450501,https://www.vivino.com/sv/dehesa-la-granja-tinto/w/1152838,3.8,13307,
224501,https://www.vivino.com/sv/gitton-pere-et-fils-silex-sancerre-les-belles-dames/w/1175675,3.9,5407,
7917501,https://www.vivino.com/w/1206906,3.8,156,
2007601,https://www.vivino.com/sv/monterustico-dogliani/w/5224366,3.8,4280,
7939401,https://www.vivino.com/w/1210237,3.8,9637,
528401,https://www.vivino.com/sv/caves-des-perrieres-pouilly-fume-pouilly-fume/w/1695387,3.8,3153,
5607101,https://www.vivino.com/sv/jerome-arnoux-brut-nature-jura/w/10603588,3.8,1774,
659701,https://www.vivino.com/w/1591082,3.8,3781,
7063101,https://www.vivino.com/w/16611,3.8,1171,
2014501,https://www.vivino.com/sv/alta-alella-mirgin-reserva-brut-nature/w/5447754,3.8,2852,
9298601,https://www.vivino.com/sv/costadila-threehundredthirty-slm/w/1604992,3.8,2644,
9132001,https://www.vivino.com/w/3271589,3.8,48,
9067601,https://www.vivino.com/sv/diamantis-magoutes-vineyard-moschomavro/w/9721919,3.8,444,
214801,https://www.vivino.com/sv/maison-blanche-bordeaux-rose/w/3663562,3.7,265,
7859601,https://www.vivino.com/sv/ruppertsberger-riesling-organic/w/7923813,3.7,2109,
1655401,https://www.vivino.com/sv/trapiche-oak-cask-malbec/w/1135810,3.7,49444,
157101,https://www.vivino.com/sv/villa-noria-les-infusions-blanc-de-noirs/w/11824092,3.7,188,
201101,https://www.vivino.com/w/7773,3.7,214,
625301,https://www.vivino.com/w/1306,3.7,828,
7281901,https://www.vivino.com/sv/enjoy-wine-spirits-this-is-the-idiot-pinot-noir/w/12608407,3.7,2200,
771101,https://www.vivino.com/sv/cinzano-asti/w/1161009,3.7,860,
212001,https://www.vivino.com/sv/sankt-anna-riesling/w/1180888,3.7,3865,
257102,https://www.vivino.com/sv/mateus-the-original-rose/w/1253734,3.7,58750,
203201,https://www.vivino.com/w/91637,3.7,91,
772501,https://www.vivino.com/w/7245276,3.7,328,
415302,https://www.vivino.com/sv/liot-chateau-du-levant-sauternes/w/1182644,3.9,2229,
558501,https://www.vivino.com/w/1151992,3.7,6572,
625302,https://www.vivino.com/w/1306,3.7,828,
7737201,https://www.vivino.com/w/2407115,3.7,111,
2266202,https://www.vivino.com/w/22352,3.7,352,
581001,https://www.vivino.com/w/1409349,3.7,231,
546101,https://www.vivino.com/w/12488,3.7,41,
524401,https://www.vivino.com/w/1852779,3.7,29,
253701,https://www.vivino.com/sv/fattoria-nittardi-caelum-ad-beata-cab/w/13817566,3.7,167,
