Varunummer,Vivino_pris_per_750ml,Vivino_prispunkter,Vivino_prisargang
9009634,89.0,1,0
7960006,209.0,1,2022
7794001,139.0,1,2017
468402,420.5,2,2016
5027601,289.0,1,2016
5301401,259.0,1,2019
7366301,189.0,1,2024
9307401,774.0,1,2022
9047501,578.0,1,2017
9457601,695.0,1,2023
9255401,2025.79,2,2022
458701,89.0,1,0
626002,209.0,4,2025
560201,94.03,1,2024
9502501,330.0,1,2023
753601,833.29,3,2018
9614601,716.0,1,2023
3247201,296.07,2,2024
9516001,156.97,2,2024
7305901,209.0,1,2015
2010201,138.96,1,0
773101,119.0,1,0
2018301,878.54,2,2021
9247001,659.0,3,2022
583701,174.54,1,2023
7171906,168.3,2,2024
9579601,214.57,2,2023
9517001,300.94,2,2024
321001,359.0,1,2024
9417301,266.0,1,2022
9205601,1100.0,1,2014
9322801,212.36,2,2024
5981901,250.0,1,2022
9260501,698.72,3,2021
9343201,544.34,3,2016
9063201,229.19,2,2023
9051401,469.0,3,2020
9514001,616.69,2,2016
9462601,5160.13,6,2008
279901,266.88,4,2025
9253401,349.0,1,2024
9305601,300.85,2,2021
2201301,506.73,3,2023
9022201,996.0,1,2022
9341601,576.88,2,2017
9211601,2916.51,3,2023
9323701,226.55,4,2024
9128201,7830.0,3,2023
7974301,217.88,2,2021
2016001,219.0,1,2024
7947701,225.25,2,2023
7325101,119.0,1,2023
209701,159.0,1,2021
222701,189.0,1,0
7119201,1229.47,2,2022
7013101,189.0,1,2016
273501,1017.0,1,2021
240801,119.0,1,2023
7992501,297.28,1,0
2280001,227.01,1,2024
431801,129.0,1,2023
9020115,89.0,1,0
234501,595.0,1,2021
9284801,301.0,1,2022
9112801,249.0,1,0
699801,196.0,1,2024
2011001,167.78,1,2023
2232001,243.0,1,2021
221102,314.17,3,2023
192201,139.0,1,2019
285201,145.0,1,2021
308302,260.09,4,2020
9518201,279.26,1,2024
9270601,221.27,2,2021
236802,300.64,2,2018
512301,215.6,2,2022
7291401,518.5,2,2022
2235002,459.5,2,2021
9298501,2107.33,2,2015
5809301,504.75,2,2017
273701,249.0,1,0
556201,129.0,1,0
154501,249.0,3,2024
671401,157.0,1,2019
4230201,542.31,3,2019
9507701,483.08,1,2020
254701,269.69,2,2023
7790901,119.0,1,2020
5632601,276.15,2,2024
7678802,180.18,3,2023
231002,199.0,1,2024
512302,215.6,2,2022
532902,230.0,1,2021
8728201,536.0,1,2022
9209901,156.52,1,2013
9351401,413.02,2,2024
9342601,601.0,1,2024
9341801,197.06,1,0
9481301,233.1,2,0
9010101,325.43,1,0
7749301,339.0,1,2014
9363501,1703.29,4,2021
9367801,1002.2,3,2021
9002001,540.56,2,2024
9341901,450.0,1,2021
7849801,1489.84,2,2020
9482501,4400.0,9,2022
9243601,348.29,2,2022
9454301,3613.07,2,1998
5832406,209.0,1,2024
7912101,500.0,1,2017
9118001,16900.03,2,2012
9015501,294.95,2,2013
9213101,1810.0,1,2020
9226801,970.0,1,2006
9479301,4917.04,2,2008
9203601,729.0,1,2022
9482502,4400.0,9,2022
470501,299.0,1,2024
233001,675.64,1,2012
9362901,320.93,1,2021
9247801,18768.0,1,2013
746201,909.3,2,0
9554001,1646.87,3,2021
9472701,4894.78,2,1998
9303701,4110.14,3,0
9288701,1764.87,2,2012
9028501,1417.75,2,2020
9207201,3593.56,2,2020
9372601,3468.17,3,2021
9419001,3144.95,1,2012
9438901,8135.1,4,2012
9544001,4943.43,3,2013
9241401,213.95,1,2016
9298801,7580.51,4,2020
9273702,6647.0,2,2022
9484901,2714.58,4,2013
9576201,2625.61,2,2021
9584501,3709.95,1,2013
9038501,45535.35,2,2004
9548201,2179.0,1,2019
9421301,4888.18,2,2023
9247501,742.08,1,2016
284501,844.55,1,2017
7596501,1043.8,2,2021
231701,129.0,1,2022
5190101,204.84,2,2024
9027101,351.78,2,2023
9007701,384.48,4,2022
9292601,591.33,2,2023
9118201,778.0,1,2019
7713201,272.0,1,0
5600701,122.74,3,2025
266001,89.0,1,0
9401401,134.56,2,2022
9354702,217.05,2,2023
