Varunummer,Namn,Producent,Pris,Volym,Forpackning,Kategori3,Ursprung,Druvor,Vivino_betyg,Vivino_antal_recensioner,Matchningssäkerhet,Matchningskälla,Vivino_url
230402,Domìni Veneti Recioto della Valpolicella Classico,Cantina Valpolicella Negrar,179.0,375 ml,Glasflaska,Sött,Italien,,4.1,475,,vertex-ai-search,https://www.vivino.com/sv/domini-veneti-recioto-della-valpolicella-classico-vigneti-di-moron/w/2083972
279501,Buttery Barrel Chardonnay,Scheid Family Wines,129.0,750 ml,Lättare glasflaska,Fylligt & Smakrikt,USA,Chardonnay,3.5,1874,,websearch,https://www.vivino.com/sv/buttery-barrel-chardonnay/w/10165098
1235701,Brunello di Montalcino Col d'Orcia,Col d'Orcia,299.0,750 ml,Glasflaska,,Italien,Brunello,4.1,55281,0.89,vivino-sök,https://www.vivino.com/w/73468
620701,Black Stallion Napa Valley Cabernet Sauvignon,Black Stallion Estate Winery,389.0,750 ml,Glasflaska,Fruktigt & Smakrikt,USA,Cabernet sauvignon,4.2,15847,,websearch,https://www.vivino.com/sv/black-stallion-premiere-napa-valley-cabernet-sauvignon/w/4375278
9290401,Eguren Ugarte Crianza Blanco,Eguren Ugarte,149.0,750 ml,Glasflaska,Fylligt & Smakrikt,Spanien,"Sauvignon blanc, Tempranillo blanco",4.1,154,,vertex-ai-search,https://www.vivino.com/sv/eguren-ugarte-crianza-blanco/w/10536263
7420101,Borgogno Barbera d'Alba Superiore,Giacomo Borgogno & Figli,199.0,750 ml,Glasflaska,Fruktigt & Smakrikt,Italien,Barbera,3.9,11931,,websearch,https://www.vivino.com/sv/borgogno-barbera-d-alba-superiore/w/8575
5253701,Champagne Comtesse de Neples Brut,Chassenay d'Arce,259.0,750 ml,Glasflaska,Torrt vitt,Frankrike,,3.8,2181,,websearch,https://www.vivino.com/sv/chassenay-d-arce-comtesse-de-neples-brut-champagne/w/6959631
9428601,Capensis Silene Chardonnay,Capensis Wines,249.0,750 ml,Glasflaska,Fylligt & Smakrikt,Sydafrika,Chardonnay,4.2,1418,,websearch,https://www.vivino.com/sv/capensis-silene-chardonnay/w/8078499
536201,Francois Martenot Bourgogne Cuvée Prestige Chardonnay,Francois Martenot,139.0,750 ml,Glasflaska,Friskt & Fruktigt,Frankrike,Chardonnay,3.6,3131,,websearch,https://www.vivino.com/sv/francois-martenot-cuvee-prestige-bourgogne-chardonnay/w/1199873
9498501,Brother's Mark Cabernet Sauvignon,Pedroncelli,199.0,750 ml,Lättare glasflaska,Fruktigt & Smakrikt,USA,Cabernet sauvignon,4.1,1232,,vertex-ai-search,https://www.vivino.com/sv/pedroncelli-winery-and-vineyards-brother-s-mark-cabernet-sauvignon/w/12135517
