Varunummer,Namn,Producent,Pris,Volym,Forpackning,Kategori3,Ursprung,Druvor,AssortmentText,IsNewInAssortment,ProductLaunchDate,Argang,IsCompletelyOutOfStock,IsTemporaryOutOfStock,IsDiscontinued,IsSupplierTemporaryNotAvailable
7505501,LivAzur Rosé,Maison Lavau,139.0,750 ml,Glasflaska,,Frankrike,"Grenache, Syrah, Cinsault",Ordervaror,False,2025-05-13,2024,False,False,False,False
7904501,Maple & Ash Rosé,Oenoforos,99.0,750 ml,Glasflaska,,Italien,,Ordervaror,False,2025-06-17,,False,False,False,False
275502,Marqués de Cáceres Rosado,Bodegas Marqués de Cáceres,65.0,375 ml,Lättare glasflaska,,Spanien,"Garnacha, Tempranillo",Ordervaror,False,2011-04-01,2025,False,False,False,False
7468201,Pousio Selection Rosé,Herdade do Monte da Ribeira,139.0,750 ml,Glasflaska,,Portugal,,Ordervaror,False,2025-05-27,2023,False,False,False,False
7987701,Gris de Nuit Ktima Tselepos,Ktima Tselepos,195.0,750 ml,Lättare glasflaska,,Grekland,Moschofilero,Ordervaror,False,2025-06-02,2024,False,False,False,False
7223506,Peche Coquin Rosé,Domaine La Provenquire,299.0,1500 ml,Glasflaska,,Frankrike,"Cinsault, Grenache, Syrah",Ordervaror,False,2025-06-02,2024,False,False,False,False
7475901,La Giorgina Rosato,Tenuta Bricco San Giorgio,196.0,750 ml,Lättare glasflaska,,Italien,Nebbiolo,Ordervaror,False,2025-06-16,2023,False,False,False,False
7655301,Le Morette Chiaretto di Bardolino Classico,Azienda Agricola Valerio Zenato s.s.,189.0,750 ml,Glasflaska,,Italien,,Ordervaror,False,2025-06-16,2024,False,False,False,False
7652701,Annibal Cuvée Rose,Chateau des Annibals,159.0,750 ml,Glasflaska,,Frankrike,,Ordervaror,False,2025-06-16,2024,True,False,False,False
7021901,Château du Trignon Rosé,Famille Quiot,139.0,750 ml,Glasflaska,,Frankrike,,Ordervaror,False,2025-06-18,2023,False,False,False,False
7702301,Decibel Rose,Decibel,199.0,750 ml,Lättare glasflaska,,Nya Zeeland,Merlot,Ordervaror,False,2025-07-14,2022,False,False,False,False
7597401,Marbella Blush Rosé,Bodegas Malaga Virgen,350.0,750 ml,Glasflaska,,Spanien,Syrah,Ordervaror,False,2025-07-15,2024,False,False,False,False
7878606,Oakvale Estate Rosé,Oakvale Wines Ltd,675.0,1500 ml,Glasflaska,,Sydafrika,Pinot noir,Ordervaror,False,2025-07-07,2024,False,False,False,False
7878701,Oakvale Estate Rosé,Oakvale Wines Ltd,350.0,750 ml,Glasflaska,,Sydafrika,Pinot noir,Ordervaror,False,2025-07-14,2024,False,False,False,False
7947506,Ricasoli Albia Rosé,Ricasoli,359.0,1500 ml,Lättare glasflaska,,Italien,,Ordervaror,False,2025-08-13,2024,False,False,False,False
7567601,Pranzegg Rosé Demian,Weingut Pranzegg,299.0,750 ml,Lättare glasflaska,,Italien,Lagrein,Ordervaror,False,2025-07-23,2023,False,False,False,False
7315201,Hambledon Classic Cuvée Rosé,Hambledon,399.0,750 ml,Glasflaska,,Storbritannien,,Ordervaror,False,2018-09-05,,False,False,False,False
7122006,Cuvée Madame Sélection de Mademoiselle,Contemporary Wines AB,299.0,1500 ml,Lättare glasflaska,,Frankrike,"Cinsault, Grenache, Syrah, Carignan",Ordervaror,False,2017-05-02,2024,False,False,False,False
7552201,Domaine Piquemal Les Terres Grillées Rose,Domaine Piquemal,166.0,750 ml,Glasflaska,,Frankrike,"Syrah, Grenache noir",Ordervaror,False,2017-05-03,2021,False,False,False,False
466901,Chateau des hauts de Fontaneau,EARL Clos d'Arnault,79.0,750 ml,Lättare glasflaska,Fruktigt & Smakrikt,Frankrike,"Merlot, Cabernet sauvignon",Ordervaror,False,2019-06-01,2019,False,False,False,False
7794006,Enzo Bartoli Rosato,MGM S.r.l.,269.0,1500 ml,Glasflaska,Friskt & Bärigt,Italien,,Ordervaror,False,2019-04-23,2024,False,False,False,False
7359301,Chateau Minuty 281,Château Minuty,549.0,750 ml,Glasflaska,,Frankrike,"Grenache, Syrah, Cinsault",Ordervaror,False,2017-05-05,2025,False,False,False,False
7076001,BelColle Langhe Rosato,Bosio Family Estates srl,229.0,750 ml,Glasflaska,,Italien,Nebbiolo,Ordervaror,False,2019-04-29,2025,False,False,False,False
7427101,Anemone Alghero Rosato,Tenuta Sella & Mosca,129.0,750 ml,Glasflaska,,Italien,,Ordervaror,False,2019-05-06,2025,False,False,False,False
7442601,Dolina Rosé,Bacina Vino,156.0,750 ml,Glasflaska,,Serbien,"Cabernet franc, Merlot",Ordervaror,False,2015-11-02,2019,False,True,False,True
7539601,Eins Zwei Dry Pinot Noir Rosé,Weingut Leitz,139.0,750 ml,Lättare glasflaska,,Tyskland,,Ordervaror,False,2015-12-01,2025,False,True,False,True
7935306,Minuty Prestige Rosé,Château Minuty,479.0,1500 ml,Glasflaska,,Frankrike,,Ordervaror,False,2016-03-01,2025,False,False,False,False
7288101,Rose de Purcari,Purcari,161.0,750 ml,Glasflaska,,Moldavien,"Cabernet sauvignon, Merlot, Rara neagra",Ordervaror,False,2016-04-01,,False,False,False,False
7290001,Domaine Tropez Rosé,Domaine Tropez,209.0,750 ml,Glasflaska,,Frankrike,,Ordervaror,False,2016-06-08,2018,False,True,False,True
7388701,Jakkalsvlei Pink Moscato,Jakkalsvlei,165.0,750 ml,Glasflaska,,Sydafrika,"Pinotage, Red muscadel",Ordervaror,False,2018-06-11,2025,False,True,False,True
7247501,Pure Mirabeau en Provence,Mirabeau en Provence,219.0,750 ml,Glasflaska,,Frankrike,,Ordervaror,False,2018-04-16,2024,False,True,False,True
7097301,El Marascar Rosato Veronese,Le Marognole,243.0,750 ml,Glasflaska,,Italien,,Ordervaror,False,2018-06-18,2019,False,False,False,False
7764901,Abdyika Melnik Rosé,Abdyika winery,144.0,750 ml,Glasflaska,,Bulgarien,Melnik,Ordervaror,False,2019-05-13,2025,False,False,False,False
7414801,Gustave Lorentz Pinot Noir Le Rosé,Gustave Lorentz,135.0,750 ml,Glasflaska,,Frankrike,Pinot noir,Ordervaror,False,2019-05-08,2025,False,False,False,False
7149601,La Campagne Cinsault Rosé,Producteurs Réunis Ruoms,109.0,750 ml,Glasflaska,,Frankrike,Cinsault,Ordervaror,False,2019-05-27,2024,False,False,False,False
7849301,Piemonte Rosato Frizzante,Ca' de Lion,179.0,750 ml,Glasflaska,,Italien,Pinot noir,Ordervaror,False,2019-06-24,2020,False,False,False,False
7078801,La Vieille Ferme Rosé,La Vieille Ferme,119.0,750 ml,Lättare glasflaska,,Frankrike,,Ordervaror,False,2011-07-01,2025,False,False,False,False
